iter	RMSE
0	7553283.28
1	7334207.007
2	7122809.301
3	6961880.337
4	6808891.881
5	6678032.483
6	6560294.065
7	6446997.243
8	6359251.769
9	6281441.175
10	6210408.497
11	6144478.929
12	6084888.893
13	6024727.027
14	5977093.175
15	5925268.606
16	5883446.435
17	5841995.58
18	5811831.861
19	5782785.61
20	5756149.232
21	5732269.184
22	5711382.443
23	5691187.748
24	5665895.418
25	5648394.705
26	5628794.681
27	5617731.356
28	5606237.605
29	5585844.625
30	5572097.86
31	5558589.127
32	5548590.249
33	5538900.961
34	5528074.985
35	5516010.946
36	5510515.531
37	5495696.971
38	5489888.627
39	5481269.636
40	5472392.593
41	5465766.686
42	5459382.582
43	5446815.49
44	5441578.583
45	5436617.884
46	5428549.268
47	5421794.985
48	5416999.141
49	5407907.362
50	5404915.359
51	5392683.308
52	5387304.203
53	5382067.585
54	5373880.097
55	5370566.977
56	5366404.581
57	5363521.527
58	5360950.425
59	5355365.059
60	5351256.717
61	5344824.585
62	5343241.931
63	5341072.161
64	5334900.806
65	5329277.993
66	5324126.898
67	5318266.881
68	5309279.583
69	5304548.364
70	5301553.65
71	5294915.815
72	5290194.46
73	5287245.758
74	5282485.799
75	5281126.304
76	5274302.433
77	5271880.345
78	5269850.138
79	5266461.295
80	5264638.621
81	5261052.549
82	5259341.444
83	5257731.338
84	5247975.652
85	5243322.746
86	5236866.438
87	5223203.877
88	5220983.48
89	5219139.259
90	5217969.445
91	5214460.971
92	5209004.524
93	5206599.498
94	5200161.982
95	5198340.571
96	5196982.641
97	5193718.889
98	5188596.992
99	5183742.392
100	5181502.83
101	5178728.656
102	5176787.198
103	5171774.413
104	5168127.655
105	5165053.02
106	5163485.933
107	5162592.628
108	5147976.404
109	5146102.541
110	5143702.65
111	5141560.803
112	5138949.587
113	5137882.39
114	5137138.59
115	5131249.424
116	5128780.553
117	5127426.484
118	5124104.431
119	5123127.347
120	5119209.615
121	5116750.765
122	5114714.59
123	5110760.111
124	5108481.267
125	5105965.525
126	5102960.427
127	5100260.341
128	5098181.291
129	5092797.939
130	5090046.759
131	5087930.674
132	5086810.321
133	5085462.108
134	5082839.371
135	5075197.789
136	5072958.946
137	5071194.407
138	5068854.246
139	5067282.706
140	5065265.924
141	5064652.01
142	5063969.078
143	5062641.943
144	5060879.026
145	5058590.052
146	5056774.725
147	5055319.361
148	5050890.299
149	5048704.647
150	5047874.946
151	5046694.995
152	5045097.164
153	5043995.427
154	5041144.584
155	5039441.348
156	5038739.222
157	5037345.187
158	5035983.8
159	5034820.433
160	5034212.262
161	5033981.111
162	5032874.434
163	5028965.367
164	5027299.574
165	5026272.632
166	5024180.355
167	5023297.715
168	5021821.751
169	5008767.125
170	5006957.255
171	5002321.953
172	5001459.385
173	5000125.908
174	4999688.805
175	4996130.903
176	4992819.224
177	4991347.847
178	4989972.384
179	4984465.331
180	4983246.329
181	4980959.535
182	4979656.07
183	4978018.206
184	4976523.691
185	4974597.316
186	4973138.074
187	4972254.538
188	4970175.321
189	4969121.763
190	4968380.741
191	4967948.276
192	4965962.966
193	4963909.121
194	4963154.5
195	4962768.404
196	4961246.358
197	4960244.232
198	4955062.442
199	4953947.593
200	4953407.108
201	4951421.768
202	4951015.721
203	4928907.597
204	4927400.126
205	4906028.272
206	4905467.013
207	4904431.17
208	4903219.605
209	4902789.412
210	4900880.915
211	4897727.531
212	4897183.158
213	4896373.027
214	4895686.964
215	4894201.853
216	4893410.369
217	4892384.088
218	4891372.684
219	4886414.135
220	4885811.607
221	4885094.739
222	4880092.272
223	4879786.737
224	4876914.672
225	4872228.066
226	4871753.988
227	4871188.42
228	4866770.828
229	4864851.466
230	4860286.254
231	4858987.813
232	4857885.075
233	4856071.27
234	4851894.656
235	4850573.73
236	4848495.055
237	4827793.273
238	4827040.959
239	4826531.381
240	4825168.431
241	4824309.327
242	4822667.096
243	4821827.89
