iter	Passed	Remaining
0	213	213067
1	355	177192
2	459	152719
3	557	138857
4	659	131317
5	762	126241
6	863	122438
7	965	119762
8	1068	117680
9	1182	117037
10	1275	114656
11	1379	113573
12	1484	112672
13	1600	112740
14	1695	111332
15	1793	110310
16	1890	109307
17	1997	108998
18	2092	108030
19	2194	107554
20	2297	107088
21	2387	106118
22	2483	105484
23	2585	105124
24	2696	105144
25	2796	104743
26	2897	104416
27	2984	103588
28	3074	102948
29	3184	102959
30	3277	102459
31	3364	101779
32	3453	101192
33	3539	100554
34	3621	99863
35	3717	99543
36	3804	99026
37	3906	98895
38	3990	98319
39	4074	97792
40	4162	97357
41	4247	96889
42	4334	96471
43	4433	96324
44	4525	96050
45	4608	95583
46	4719	95695
47	4812	95448
48	4893	94980
49	4992	94864
50	5086	94646
51	5192	94656
52	5288	94499
53	5369	94064
54	5471	94001
55	5558	93698
56	5642	93346
57	5722	92935
58	5821	92840
59	5909	92584
60	5997	92326
61	6090	92144
62	6166	91709
63	6247	91366
64	6318	90895
65	6460	91424
66	6551	91230
67	6635	90941
68	6730	90813
69	6817	90569
70	6903	90333
71	7000	90227
72	7097	90131
73	7183	89896
74	7264	89594
75	7336	89199
76	7426	89019
77	7513	88808
78	7596	88563
79	7692	88464
80	7774	88211
81	7873	88139
82	7949	87822
83	8019	87446
84	8130	87521
85	8240	87578
86	8342	87552
87	8447	87544
88	8523	87247
89	8617	87127
90	8691	86823
91	8790	86761
92	8888	86682
93	8983	86584
94	9060	86312
95	9135	86021
96	9209	85735
97	9297	85573
98	9399	85548
99	9507	85564
100	9608	85528
101	9710	85487
102	9786	85224
103	9895	85253
104	9995	85198
105	10077	84990
106	10171	84886
107	10250	84665
108	10334	84475
109	10423	84334
110	10507	84154
111	10580	83884
112	10673	83779
113	10766	83674
114	10834	83375
115	10910	83148
116	11001	83024
117	11097	82949
118	11198	82910
119	11278	82711
120	11376	82644
121	11484	82649
122	11570	82495
123	11682	82531
124	11766	82365
125	11840	82130
126	11934	82039
127	12032	81973
128	12130	81905
129	12287	82233
130	12384	82153
131	12479	82059
132	12567	81922
133	12642	81705
134	12736	81608
135	12846	81610
136	12947	81561
137	13026	81366
138	13128	81322
139	13203	81108
140	13290	80969
141	13374	80810
142	13444	80570
143	13537	80470
144	13637	80411
145	13748	80417
146	13826	80228
147	13898	80012
148	14037	80175
149	14132	80086
150	14214	79920
151	14323	79911
152	14401	79723
153	14574	80064
154	14763	80487
155	14921	80730
156	15026	80684
157	15122	80588
158	15203	80415
159	15282	80232
160	15351	80001
161	15438	79859
162	15519	79693
163	15638	79718
164	15730	79605
165	15805	79406
166	15902	79323
167	15996	79219
168	16077	79054
169	16165	78924
170	16272	78888
171	16367	78794
172	16439	78587
173	16544	78537
174	16691	78690
175	16880	79033
176	17115	79583
177	17193	79401
178	17284	79275
179	17400	79267
180	17487	79130
181	17597	79093
182	17680	78934
183	17775	78831
184	17873	78740
185	17961	78605
186	18043	78445
187	18124	78283
188	18226	78208
189	18306	78044
190	18377	77840
191	18461	77693
192	18554	77582
193	18660	77526
194	18735	77342
195	18811	77164
196	18910	77083
197	19004	76979
198	19095	76860
199	19190	76763
200	19271	76608
201	19365	76502
202	19430	76286
203	19545	76264
204	19640	76165
205	19731	76051
206	19816	75914
207	19894	75750
208	19965	75561
209	20046	75413
210	20157	75376
211	20263	75319
212	20331	75122
213	20410	74964
214	20488	74805
215	20560	74627
216	20634	74456
217	20723	74339
218	20805	74196
219	20905	74119
220	20974	73931
221	21056	73792
222	21157	73717
223	21232	73554
224	21321	73440
225	21414	73339
226	21502	73222
227	21570	73037
228	21672	72966
229	21745	72799
230	21834	72686
231	21919	72560
232	22095	72734
233	22168	72569
234	22260	72465
235	22357	72377
236	22472	72347
237	22564	72245
238	22634	72072
239	22753	72052
240	22852	71971
241	22942	71861
242	23030	71743
243	23136	71684
244	23222	71563
245	23331	71511
246	23418	71393
247	23507	71281
248	23599	71176
249	23695	71085
250	23775	70948
251	23849	70791
252	23927	70646
253	24028	70570
254	24129	70494
255	24230	70419
256	24338	70364
257	24476	70393
258	24544	70222
259	24630	70102
260	24715	69980
261	24818	69909
262	24905	69792
263	24976	69632
264	25071	69538
265	25175	69468
266	25279	69399
267	25386	69340
268	25470	69214
269	25553	69090
270	25643	68981
271	25747	68912
272	25865	68879
273	25942	68739
274	26035	68640
275	26147	68590
276	26237	68481
277	26339	68405
278	26449	68351
279	26547	68264
280	26621	68117
281	26699	67978
282	26787	67867
283	26919	67866
284	27058	67883
285	27160	67805
286	27261	67726
287	27355	67627
288	27438	67503
289	27532	67406
290	27647	67360
291	27729	67235
292	27833	67161
293	27901	67001
294	28015	66952
295	28114	66866
296	28203	66757
297	28293	66650
298	28398	66580
299	28496	66491
300	28583	66378
301	28677	66281
302	28761	66161
303	28872	66101
304	28942	65951
305	29026	65832
306	29127	65749
307	29237	65690
308	29313	65552
309	29411	65464
310	29512	65382
311	29612	65299
312	29716	65223
313	29803	65112
314	29886	64991
315	29963	64857
316	30056	64759
317	30135	64629
318	30219	64511
319	30284	64353
320	30394	64291
321	30467	64152
322	30569	64071
323	30676	64003
324	30781	63931
325	30880	63844
326	30982	63764
327	31070	63657
328	31188	63609
329	31294	63538
330	31381	63426
331	31482	63345
332	31558	63211
333	31642	63095
334	31724	62976
335	31825	62893
336	31915	62789
337	32021	62717
338	32114	62619
339	32199	62504
340	32277	62378
341	32341	62223
342	32420	62099
343	32510	61997
344	32599	61891
345	32688	61787
346	32781	61689
347	32867	61579
348	32940	61445
349	33042	61364
350	33142	61280
351	33221	61157
352	33317	61066
353	33426	60998
354	33520	60904
355	33627	60830
356	33715	60724
357	33789	60593
358	33871	60477
359	33937	60332
360	34047	60267
361	34152	60191
362	34244	60093
363	34372	60057
364	34465	59960
365	34551	59851
366	34631	59732
367	34718	59625
368	34799	59508
369	34899	59422
370	34984	59314
371	35087	59233
372	35153	59091
373	35242	58989
374	35345	58909
375	35432	58803
376	35544	58737
377	35624	58620
378	35704	58502
379	35779	58377
380	35853	58250
381	35961	58179
382	36062	58095
383	36140	57974
384	36223	57863
385	36322	57777
386	36438	57718
387	36529	57618
388	36615	57512
389	36695	57394
390	36768	57268
391	36869	57184
392	36958	57084
393	37032	56958
394	37126	56864
395	37199	56738
396	37284	56630
397	37371	56527
398	37463	56429
399	37545	56317
400	37634	56217
401	37722	56114
402	37799	55996
403	37876	55877
404	37943	55744
405	38036	55650
406	38152	55588
407	38236	55480
408	38307	55353
409	38413	55277
410	38516	55198
411	38615	55111
412	38710	55018
413	38788	54904
414	38875	54800
415	38980	54722
416	39074	54629
417	39154	54517
418	39225	54391
419	39321	54300
420	39424	54220
421	39514	54122
422	39619	54043
423	39718	53956
424	39829	53887
425	39936	53810
426	40053	53748
427	40145	53652
428	40252	53575
429	40352	53490
430	40544	53526
431	40666	53469
432	40936	53604
433	41196	53725
434	41437	53820
435	41679	53915
436	41909	53993
437	42125	54051
438	42288	54040
439	42458	54037
440	42604	54004
441	42763	53986
442	42910	53952
443	43059	53921
444	43126	53787
445	43209	53672
446	43312	53583
447	43389	53461
448	43485	53364
449	43556	53235
450	43648	53133
451	43743	53034
452	43841	52938
453	43931	52834
454	44034	52744
455	44130	52647
456	44214	52534
457	44328	52458
458	44419	52355
459	44511	52252
460	44596	52141
461	44689	52040
462	44784	51942
463	44880	51844
464	45008	51784
465	45084	51662
466	45165	51548
467	45252	51440
468	45345	51339
469	45446	51247
470	45515	51120
471	45626	51039
472	45701	50919
